2024-01-18 13:30:03.852 [info] Log level: Info
2024-01-18 13:30:03.852 [info] Validating found git in: "git"
2024-01-18 13:30:03.852 [info] Using git "2.43.0" from "git"
2024-01-18 13:30:03.852 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 13:30:03.853 [info] > git rev-parse --show-toplevel [9ms]
2024-01-18 13:30:05.134 [info] > git rev-parse --show-toplevel [1267ms]
2024-01-18 13:30:05.519 [info] > git rev-parse --show-toplevel [69ms]
2024-01-18 13:30:05.596 [info] > git rev-parse --show-toplevel [59ms]
2024-01-18 13:30:05.749 [info] > git rev-parse --show-toplevel [74ms]
2024-01-18 13:30:05.915 [info] > git rev-parse --show-toplevel [10ms]
2024-01-18 13:30:06.033 [info] > git rev-parse --show-toplevel [10ms]
2024-01-18 13:31:28.167 [info] > git rev-parse --show-toplevel [46ms]
